date,taxi_trips,fhv_trips
2020-01-01,169437,42229
2020-01-02,162141,62553
2020-01-03,183477,65855
2020-01-04,182752,50631
2020-01-05,164399,47156
2020-01-06,179515,69807
2020-01-07,201520,70000
2020-01-08,217100,72410
2020-01-09,231684,74123
2020-01-10,228201,72696
2020-01-11,217503,54592
2020-01-12,186745,47500
2020-01-13,209210,72246
2020-01-14,217722,72611
2020-01-15,217496,74006
2020-01-16,239657,76553
2020-01-17,243682,77990
2020-01-18,190158,52676
2020-01-19,175831,46794
2020-01-20,161956,54412
2020-01-21,213823,75443
2020-01-22,221897,74536
2020-01-23,232096,74774
2020-01-24,233291,72940
2020-01-25,223220,55183
2020-01-26,188185,48607
2020-01-27,189791,73085
2020-01-28,215831,73194
2020-01-29,227430,74508
2020-01-30,243016,74973
2020-01-31,236330,74370
2020-02-01,211632,52052
2020-02-02,193744,47407
2020-02-03,194478,71303
2020-02-04,216049,71019
2020-02-05,231685,72995
2020-02-06,242757,74077
2020-02-07,252410,74989
2020-02-08,219589,54339
2020-02-09,182474,46453
2020-02-10,211573,73701
2020-02-11,220135,72663
2020-02-12,236428,74409
2020-02-13,246516,75225
2020-02-14,258277,77987
2020-02-15,202201,56203
2020-02-16,165867,46240
2020-02-17,148845,49785
2020-02-18,190383,68905
2020-02-19,216938,72006
2020-02-20,237931,72593
2020-02-21,237185,72535
2020-02-22,209729,53687
2020-02-23,179708,48203
2020-02-24,197782,71922
2020-02-25,226546,74151
2020-02-26,231329,77165
2020-02-27,255937,77122
2020-02-28,250820,74878
2020-02-29,230525,56143
2020-03-01,179742,51235
2020-03-02,193508,73927
2020-03-03,222917,77855
2020-03-04,229735,79091
2020-03-05,244451,79491
2020-03-06,243741,76486
2020-03-07,208200,57180
2020-03-08,165803,48340
2020-03-09,175572,72521
2020-03-10,184068,70375
2020-03-11,182630,71221
2020-03-12,171077,69963
2020-03-13,134702,67819
2020-03-14,89650,46868
2020-03-15,59871,36550
2020-03-16,64202,52378
2020-03-17,45617,45189
2020-03-18,36246,41948
2020-03-19,29803,39324
2020-03-20,27622,38361
2020-03-21,16168,26685
2020-03-22,10340,17130
2020-03-23,13576,28451
2020-03-24,11851,24713
2020-03-25,11207,24332
2020-03-26,10666,24108
2020-03-27,11778,24958
2020-03-28,7633,18108
2020-03-29,5540,12246
2020-03-30,9579,21711
2020-03-31,9446,20232
2020-04-01,9468,21349
2020-04-02,8786,20038
2020-04-03,10309,21878
2020-04-04,6396,15169
2020-04-05,5046,10426
2020-04-06,8270,19838
2020-04-07,7886,19082
2020-04-08,7915,18964
2020-04-09,7827,17619
2020-04-10,8585,18566
2020-04-11,6269,14855
2020-04-12,4432,10086
2020-04-13,7469,19235
2020-04-14,8329,18812
2020-04-15,8303,19229
2020-04-16,8495,19506
2020-04-17,9672,21873
2020-04-18,5808,15622
2020-04-19,5122,11394
2020-04-20,8134,21198
2020-04-21,8085,20268
2020-04-22,8624,21682
2020-04-23,8720,21696
2020-04-24,9395,23793
2020-04-25,7219,17880
2020-04-26,4992,12779
2020-04-27,8904,22952
2020-04-28,9457,22844
2020-04-29,9683,23822
2020-04-30,10283,23971
2020-05-01,11893,26375
2020-05-02,8450,20428
2020-05-03,6416,15599
2020-05-04,10799,25799
2020-05-05,11205,24505
2020-05-06,11960,24911
2020-05-07,12065,24988
2020-05-08,13136,27094
2020-05-09,8609,20348
2020-05-10,7605,18033
2020-05-11,11885,25994
2020-05-12,12190,25029
2020-05-13,13019,26534
2020-05-14,13210,26101
2020-05-15,14576,28948
2020-05-16,10257,22267
2020-05-17,7403,17310
2020-05-18,12073,27550
2020-05-19,12224,26645
2020-05-20,12677,28211
2020-05-21,12807,27636
2020-05-22,13993,29807
2020-05-23,8009,22382
2020-05-24,7984,19653
2020-05-25,7664,22302
2020-05-26,13078,29920
2020-05-27,14262,30353
2020-05-28,13586,29645
2020-05-29,15176,31052
2020-05-30,11331,25751
2020-05-31,8826,21304
2020-06-01,14670,32976
2020-06-02,14958,28667
2020-06-03,14990,30344
2020-06-04,15836,30711
2020-06-05,16501,31654
2020-06-06,12131,23735
2020-06-07,9907,20699
2020-06-08,16974,34721
2020-06-09,17721,35048
2020-06-10,18018,36770
2020-06-11,17823,35015
2020-06-12,20108,38003
2020-06-13,14072,29822
2020-06-14,10891,23494
2020-06-15,18274,36051
2020-06-16,19661,35278
2020-06-17,19975,36553
2020-06-18,20301,36637
2020-06-19,22291,38650
2020-06-20,14803,31180
2020-06-21,12829,25721
2020-06-22,23092,40409
2020-06-23,24666,39242
2020-06-24,24945,40027
2020-06-25,25696,39546
2020-06-26,26228,41545
2020-06-27,17215,32283
2020-06-28,15201,26036
2020-06-29,24842,41031
2020-06-30,25159,39758
2020-07-01,25525,39127
2020-07-02,27359,40085
2020-07-03,20377,33830
2020-07-04,14476,25861
2020-07-05,14450,22126
2020-07-06,24504,38469
2020-07-07,26050,38179
2020-07-08,27038,39909
2020-07-09,28953,40119
2020-07-10,24098,40625
2020-07-11,18585,29209
2020-07-12,17086,23989
2020-07-13,25869,40040
2020-07-14,28472,39245
2020-07-15,29304,40208
2020-07-16,29279,39134
2020-07-17,27890,39869
2020-07-18,21800,30972
2020-07-19,17011,23573
2020-07-20,27104,40373
2020-07-21,29470,39228
2020-07-22,31478,41248
2020-07-23,30117,40407
2020-07-24,29194,40838
2020-07-25,24142,31744
2020-07-26,17541,23799
2020-07-27,28731,41639
