date,service_type,trips
2020-03-23,Taxi,13576
2020-03-23,FHV,28451
2020-03-24,Taxi,11851
2020-03-24,FHV,24713
2020-03-25,Taxi,11207
2020-03-25,FHV,24332
2020-03-26,Taxi,10666
2020-03-26,FHV,24108
2020-03-27,Taxi,11778
2020-03-27,FHV,24958
2020-03-28,Taxi,7633
2020-03-28,FHV,18108
2020-03-29,Taxi,5540
2020-03-29,FHV,12246
2020-03-30,Taxi,9579
2020-03-30,FHV,21711
2020-03-31,Taxi,9446
2020-03-31,FHV,20232
2020-04-01,Taxi,9468
2020-04-01,FHV,21349
2020-04-02,Taxi,8786
2020-04-02,FHV,20038
2020-04-03,Taxi,10309
2020-04-03,FHV,21878
2020-04-04,Taxi,6396
2020-04-04,FHV,15169
2020-04-05,Taxi,5046
2020-04-05,FHV,10426
2020-04-06,Taxi,8270
2020-04-06,FHV,19838
2020-04-07,Taxi,7886
2020-04-07,FHV,19082
2020-04-08,Taxi,7915
2020-04-08,FHV,18964
2020-04-09,Taxi,7827
2020-04-09,FHV,17619
2020-04-10,Taxi,8585
2020-04-10,FHV,18566
2020-04-11,Taxi,6269
2020-04-11,FHV,14855
2020-04-12,Taxi,4432
2020-04-12,FHV,10086
2020-04-13,Taxi,7469
2020-04-13,FHV,19235
2020-04-14,Taxi,8329
2020-04-14,FHV,18812
2020-04-15,Taxi,8303
2020-04-15,FHV,19229
2020-04-16,Taxi,8495
2020-04-16,FHV,19506
2020-04-17,Taxi,9672
2020-04-17,FHV,21873
2020-04-18,Taxi,5808
2020-04-18,FHV,15622
2020-04-19,Taxi,5122
2020-04-19,FHV,11394
2020-04-20,Taxi,8134
2020-04-20,FHV,21198
2020-04-21,Taxi,8085
2020-04-21,FHV,20268
2020-04-22,Taxi,8624
2020-04-22,FHV,21682
2020-04-23,Taxi,8720
2020-04-23,FHV,21696
2020-04-24,Taxi,9395
2020-04-24,FHV,23793
2020-04-25,Taxi,7219
2020-04-25,FHV,17880
2020-04-26,Taxi,4992
2020-04-26,FHV,12779
2020-04-27,Taxi,8904
2020-04-27,FHV,22952
2020-04-28,Taxi,9457
2020-04-28,FHV,22844
2020-04-29,Taxi,9683
2020-04-29,FHV,23822
2020-04-30,Taxi,10283
2020-04-30,FHV,23971
2020-05-01,Taxi,11893
2020-05-01,FHV,26375
2020-05-02,Taxi,8450
2020-05-02,FHV,20428
2020-05-03,Taxi,6416
2020-05-03,FHV,15599
2020-05-04,Taxi,10799
2020-05-04,FHV,25799
2020-05-05,Taxi,11205
2020-05-05,FHV,24505
2020-05-06,Taxi,11960
2020-05-06,FHV,24911
2020-05-07,Taxi,12065
2020-05-07,FHV,24988
2020-05-08,Taxi,13136
2020-05-08,FHV,27094
2020-05-09,Taxi,8609
2020-05-09,FHV,20348
2020-05-10,Taxi,7605
2020-05-10,FHV,18033
2020-05-11,Taxi,11885
2020-05-11,FHV,25994
2020-05-12,Taxi,12190
2020-05-12,FHV,25029
2020-05-13,Taxi,13019
2020-05-13,FHV,26534
2020-05-14,Taxi,13210
2020-05-14,FHV,26101
2020-05-15,Taxi,14576
2020-05-15,FHV,28948
2020-05-16,Taxi,10257
2020-05-16,FHV,22267
2020-05-17,Taxi,7403
2020-05-17,FHV,17310
2020-05-18,Taxi,12073
2020-05-18,FHV,27550
2020-05-19,Taxi,12224
2020-05-19,FHV,26645
2020-05-20,Taxi,12677
2020-05-20,FHV,28211
2020-05-21,Taxi,12807
2020-05-21,FHV,27636
2020-05-22,Taxi,13993
2020-05-22,FHV,29807
2020-05-23,Taxi,8009
2020-05-23,FHV,22382
2020-05-24,Taxi,7984
2020-05-24,FHV,19653
2020-05-25,Taxi,7664
2020-05-25,FHV,22302
2020-05-26,Taxi,13078
2020-05-26,FHV,29920
2020-05-27,Taxi,14262
2020-05-27,FHV,30353
2020-05-28,Taxi,13586
2020-05-28,FHV,29645
