"by_day_pickup_datetime","trips"
"2020 Jan 01 12:00:00 AM","42,229"
"2020 Jan 02 12:00:00 AM","62,553"
"2020 Jan 03 12:00:00 AM","65,855"
"2020 Jan 04 12:00:00 AM","50,631"
"2020 Jan 05 12:00:00 AM","47,156"
"2020 Jan 06 12:00:00 AM","69,807"
"2020 Jan 07 12:00:00 AM","70,000"
"2020 Jan 08 12:00:00 AM","72,410"
"2020 Jan 09 12:00:00 AM","74,123"
"2020 Jan 10 12:00:00 AM","72,696"
"2020 Jan 11 12:00:00 AM","54,592"
"2020 Jan 12 12:00:00 AM","47,500"
"2020 Jan 13 12:00:00 AM","72,246"
"2020 Jan 14 12:00:00 AM","72,611"
"2020 Jan 15 12:00:00 AM","74,006"
"2020 Jan 16 12:00:00 AM","76,553"
"2020 Jan 17 12:00:00 AM","77,990"
"2020 Jan 18 12:00:00 AM","52,676"
"2020 Jan 19 12:00:00 AM","46,794"
"2020 Jan 20 12:00:00 AM","54,412"
"2020 Jan 21 12:00:00 AM","75,443"
"2020 Jan 22 12:00:00 AM","74,536"
"2020 Jan 23 12:00:00 AM","74,774"
"2020 Jan 24 12:00:00 AM","72,940"
"2020 Jan 25 12:00:00 AM","55,183"
"2020 Jan 26 12:00:00 AM","48,607"
"2020 Jan 27 12:00:00 AM","73,085"
"2020 Jan 28 12:00:00 AM","73,194"
"2020 Jan 29 12:00:00 AM","74,508"
"2020 Jan 30 12:00:00 AM","74,973"
"2020 Jan 31 12:00:00 AM","74,370"
"2020 Feb 01 12:00:00 AM","52,052"
"2020 Feb 02 12:00:00 AM","47,407"
"2020 Feb 03 12:00:00 AM","71,303"
"2020 Feb 04 12:00:00 AM","71,019"
"2020 Feb 05 12:00:00 AM","72,995"
"2020 Feb 06 12:00:00 AM","74,077"
"2020 Feb 07 12:00:00 AM","74,989"
"2020 Feb 08 12:00:00 AM","54,339"
"2020 Feb 09 12:00:00 AM","46,453"
"2020 Feb 10 12:00:00 AM","73,701"
"2020 Feb 11 12:00:00 AM","72,663"
"2020 Feb 12 12:00:00 AM","74,409"
"2020 Feb 13 12:00:00 AM","75,225"
"2020 Feb 14 12:00:00 AM","77,987"
"2020 Feb 15 12:00:00 AM","56,203"
"2020 Feb 16 12:00:00 AM","46,240"
"2020 Feb 17 12:00:00 AM","49,785"
"2020 Feb 18 12:00:00 AM","68,905"
"2020 Feb 19 12:00:00 AM","72,006"
"2020 Feb 20 12:00:00 AM","72,593"
"2020 Feb 21 12:00:00 AM","72,535"
"2020 Feb 22 12:00:00 AM","53,687"
"2020 Feb 23 12:00:00 AM","48,203"
