"by_day_tpep_pickup_datetime","trips"
"2020 Jan 01 12:00:00 AM","169,437"
"2020 Jan 02 12:00:00 AM","162,141"
"2020 Jan 03 12:00:00 AM","183,477"
"2020 Jan 04 12:00:00 AM","182,752"
"2020 Jan 05 12:00:00 AM","164,399"
"2020 Jan 06 12:00:00 AM","179,515"
"2020 Jan 07 12:00:00 AM","201,520"
"2020 Jan 08 12:00:00 AM","217,100"
"2020 Jan 09 12:00:00 AM","231,684"
"2020 Jan 10 12:00:00 AM","228,201"
"2020 Jan 11 12:00:00 AM","217,503"
"2020 Jan 12 12:00:00 AM","186,745"
"2020 Jan 13 12:00:00 AM","209,210"
"2020 Jan 14 12:00:00 AM","217,722"
"2020 Jan 15 12:00:00 AM","217,496"
"2020 Jan 16 12:00:00 AM","239,657"
"2020 Jan 17 12:00:00 AM","243,682"
"2020 Jan 18 12:00:00 AM","190,158"
"2020 Jan 19 12:00:00 AM","175,831"
"2020 Jan 20 12:00:00 AM","161,956"
"2020 Jan 21 12:00:00 AM","213,823"
"2020 Jan 22 12:00:00 AM","221,897"
"2020 Jan 23 12:00:00 AM","232,096"
"2020 Jan 24 12:00:00 AM","233,291"
"2020 Jan 25 12:00:00 AM","223,220"
"2020 Jan 26 12:00:00 AM","188,185"
"2020 Jan 27 12:00:00 AM","189,791"
"2020 Jan 28 12:00:00 AM","215,831"
"2020 Jan 29 12:00:00 AM","227,430"
"2020 Jan 30 12:00:00 AM","243,016"
"2020 Jan 31 12:00:00 AM","236,330"
"2020 Feb 01 12:00:00 AM","211,632"
"2020 Feb 02 12:00:00 AM","193,744"
"2020 Feb 03 12:00:00 AM","194,478"
"2020 Feb 04 12:00:00 AM","216,049"
"2020 Feb 05 12:00:00 AM","231,685"
"2020 Feb 06 12:00:00 AM","242,757"
"2020 Feb 07 12:00:00 AM","252,410"
"2020 Feb 08 12:00:00 AM","219,589"
"2020 Feb 09 12:00:00 AM","182,474"
"2020 Feb 10 12:00:00 AM","211,573"
"2020 Feb 11 12:00:00 AM","220,135"
"2020 Feb 12 12:00:00 AM","236,428"
"2020 Feb 13 12:00:00 AM","246,516"
"2020 Feb 14 12:00:00 AM","258,277"
"2020 Feb 15 12:00:00 AM","202,201"
"2020 Feb 16 12:00:00 AM","165,867"
"2020 Feb 17 12:00:00 AM","148,845"
"2020 Feb 18 12:00:00 AM","190,383"
"2020 Feb 19 12:00:00 AM","216,938"
"2020 Feb 20 12:00:00 AM","237,931"
"2020 Feb 21 12:00:00 AM","237,185"
"2020 Feb 22 12:00:00 AM","209,729"
"2020 Feb 23 12:00:00 AM","179,708"
"2020 Feb 24 12:00:00 AM","197,782"
"2020 Feb 25 12:00:00 AM","226,546"
"2020 Feb 26 12:00:00 AM","231,329"
"2020 Feb 27 12:00:00 AM","255,937"
"2020 Feb 28 12:00:00 AM","250,820"
"2020 Feb 29 12:00:00 AM","230,525"
"2020 Mar 01 12:00:00 AM","179,742"
"2020 Mar 02 12:00:00 AM","193,508"
"2020 Mar 03 12:00:00 AM","222,917"
"2020 Mar 04 12:00:00 AM","229,735"
"2020 Mar 05 12:00:00 AM","244,451"
"2020 Mar 06 12:00:00 AM","243,741"
"2020 Mar 07 12:00:00 AM","208,200"
"2020 Mar 08 12:00:00 AM","165,803"
"2020 Mar 09 12:00:00 AM","175,572"
"2020 Mar 10 12:00:00 AM","184,068"
"2020 Mar 11 12:00:00 AM","182,630"
"2020 Mar 12 12:00:00 AM","171,077"
"2020 Mar 13 12:00:00 AM","134,702"
"2020 Mar 14 12:00:00 AM","89,650"
"2020 Mar 15 12:00:00 AM","59,871"
"2020 Mar 16 12:00:00 AM","64,202"
"2020 Mar 17 12:00:00 AM","45,617"
"2020 Mar 18 12:00:00 AM","36,246"
"2020 Mar 19 12:00:00 AM","29,803"
"2020 Mar 20 12:00:00 AM","27,622"
"2020 Mar 21 12:00:00 AM","16,168"
"2020 Mar 22 12:00:00 AM","10,340"
"2020 Mar 23 12:00:00 AM","13,576"
"2020 Mar 24 12:00:00 AM","11,851"
"2020 Mar 25 12:00:00 AM","11,207"
"2020 Mar 26 12:00:00 AM","10,666"
"2020 Mar 27 12:00:00 AM","11,778"
"2020 Mar 28 12:00:00 AM","7,633"
"2020 Mar 29 12:00:00 AM","5,540"
"2020 Mar 30 12:00:00 AM","9,579"
"2020 Mar 31 12:00:00 AM","9,446"
"2020 Apr 01 12:00:00 AM","9,468"
"2020 Apr 02 12:00:00 AM","8,786"
"2020 Apr 03 12:00:00 AM","10,309"
"2020 Apr 04 12:00:00 AM","6,396"
"2020 Apr 05 12:00:00 AM","5,046"
"2020 Apr 06 12:00:00 AM","8,270"
"2020 Apr 07 12:00:00 AM","7,886"
"2020 Apr 08 12:00:00 AM","7,915"
"2020 Apr 09 12:00:00 AM","7,827"
"2020 Apr 10 12:00:00 AM","8,585"
"2020 Apr 11 12:00:00 AM","6,269"
"2020 Apr 12 12:00:00 AM","4,432"
"2020 Apr 13 12:00:00 AM","7,469"
"2020 Apr 14 12:00:00 AM","8,329"
"2020 Apr 15 12:00:00 AM","8,303"
"2020 Apr 16 12:00:00 AM","8,495"
"2020 Apr 17 12:00:00 AM","9,672"
"2020 Apr 18 12:00:00 AM","5,808"
"2020 Apr 19 12:00:00 AM","5,122"
"2020 Apr 20 12:00:00 AM","8,134"
"2020 Apr 21 12:00:00 AM","8,085"
"2020 Apr 22 12:00:00 AM","8,624"
"2020 Apr 23 12:00:00 AM","8,720"
"2020 Apr 24 12:00:00 AM","9,395"
"2020 Apr 25 12:00:00 AM","7,219"
"2020 Apr 26 12:00:00 AM","4,992"
"2020 Apr 27 12:00:00 AM","8,904"
"2020 Apr 28 12:00:00 AM","9,457"
"2020 Apr 29 12:00:00 AM","9,683"
"2020 Apr 30 12:00:00 AM","10,283"
"2020 May 01 12:00:00 AM","11,893"
"2020 May 02 12:00:00 AM","8,450"
"2020 May 03 12:00:00 AM","6,416"
"2020 May 04 12:00:00 AM","10,799"
"2020 May 05 12:00:00 AM","11,205"
"2020 May 06 12:00:00 AM","11,960"
"2020 May 07 12:00:00 AM","12,065"
"2020 May 08 12:00:00 AM","13,136"
"2020 May 09 12:00:00 AM","8,609"
"2020 May 10 12:00:00 AM","7,605"
"2020 May 11 12:00:00 AM","11,885"
"2020 May 12 12:00:00 AM","12,190"
"2020 May 13 12:00:00 AM","13,019"
"2020 May 14 12:00:00 AM","13,210"
"2020 May 15 12:00:00 AM","14,576"
"2020 May 16 12:00:00 AM","10,257"
"2020 May 17 12:00:00 AM","7,403"
"2020 May 18 12:00:00 AM","12,073"
"2020 May 19 12:00:00 AM","12,224"
"2020 May 20 12:00:00 AM","12,677"
"2020 May 21 12:00:00 AM","12,807"
"2020 May 22 12:00:00 AM","13,993"
"2020 May 23 12:00:00 AM","8,009"
"2020 May 24 12:00:00 AM","7,984"
"2020 May 25 12:00:00 AM","7,664"
"2020 May 26 12:00:00 AM","13,078"
"2020 May 27 12:00:00 AM","14,262"
"2020 May 28 12:00:00 AM","13,586"
"2020 May 29 12:00:00 AM","15,176"
"2020 May 30 12:00:00 AM","11,331"
"2020 May 31 12:00:00 AM","8,826"
"2020 Jun 01 12:00:00 AM","14,670"
"2020 Jun 02 12:00:00 AM","14,958"
"2020 Jun 03 12:00:00 AM","14,990"
"2020 Jun 04 12:00:00 AM","15,836"
"2020 Jun 05 12:00:00 AM","16,501"
"2020 Jun 06 12:00:00 AM","12,131"
"2020 Jun 07 12:00:00 AM","9,907"
"2020 Jun 08 12:00:00 AM","16,974"
"2020 Jun 09 12:00:00 AM","17,721"
"2020 Jun 10 12:00:00 AM","18,018"
"2020 Jun 11 12:00:00 AM","17,823"
"2020 Jun 12 12:00:00 AM","20,108"
"2020 Jun 13 12:00:00 AM","14,072"
"2020 Jun 14 12:00:00 AM","10,891"
"2020 Jun 15 12:00:00 AM","18,274"
"2020 Jun 16 12:00:00 AM","19,661"
"2020 Jun 17 12:00:00 AM","19,975"
"2020 Jun 18 12:00:00 AM","20,301"
"2020 Jun 19 12:00:00 AM","22,291"
"2020 Jun 20 12:00:00 AM","14,803"
"2020 Jun 21 12:00:00 AM","12,829"
